dup1,dup2,type
Zm00001eb430480,Zm00001eb414260,SD
Zm00001eb228540,Zm00001eb272020,SD
Zm00001eb015960,Zm00001eb395220,SD
Zm00001eb156460,Zm00001eb343000,SD
Zm00001eb159960,Zm00001eb356930,SD
Zm00001eb365690,Zm00001eb144630,SD
Zm00001eb312300,Zm00001eb041730,SD
Zm00001eb312300,Zm00001eb179540,SD
Zm00001eb051240,Zm00001eb135250,SD
Zm00001eb163460,Zm00001eb093440,SD
Zm00001eb373980,Zm00001eb278580,SD
Zm00001eb188530,Zm00001eb252240,SD
Zm00001eb100440,Zm00001eb314750,SD
Zm00001eb374120,Zm00001eb278470,SD
Zm00001eb121390,Zm00001eb337540,SD
Zm00001eb121390,Zm00001eb283520,SD
Zm00001eb220670,Zm00001eb043950,SD
Zm00001eb330430,Zm00001eb111270,SD
Zm00001eb160120,Zm00001eb357220,SD
Zm00001eb241370,Zm00001eb181100,SD
Zm00001eb057810,Zm00001eb214560,SD
Zm00001eb422870,Zm00001eb082230,SD
Zm00001eb156230,Zm00001eb360630,SD
Zm00001eb103000,Zm00001eb037460,SD
Zm00001eb103000,Zm00001eb198470,SD
Zm00001eb398580,Zm00001eb010710,SD
Zm00001eb360940,Zm00001eb155720,SD
Zm00001eb360940,Zm00001eb294610,SD
Zm00001eb270990,Zm00001eb376680,SD
Zm00001eb232050,Zm00001eb227180,SD
Zm00001eb042150,Zm00001eb310970,SD
Zm00001eb042150,Zm00001eb098610,SD
Zm00001eb416990,Zm00001eb173100,SD
Zm00001eb381490,Zm00001eb281230,SD
Zm00001eb118240,Zm00001eb298440,SD
Zm00001eb380880,Zm00001eb280920,SD
Zm00001eb188950,Zm00001eb252640,SD
Zm00001eb325580,Zm00001eb107710,SD
Zm00001eb414260,Zm00001eb178120,SD
Zm00001eb327970,Zm00001eb109770,SD
Zm00001eb252950,Zm00001eb189440,SD
Zm00001eb365530,Zm00001eb144330,SD
Zm00001eb277990,Zm00001eb382990,SD
Zm00001eb201330,Zm00001eb091200,SD
Zm00001eb349460,Zm00001eb288090,SD
Zm00001eb340760,Zm00001eb131430,SD
Zm00001eb257370,Zm00001eb313570,SD
Zm00001eb142530,Zm00001eb363800,SD
Zm00001eb252860,Zm00001eb381600,SD
Zm00001eb253960,Zm00001eb371590,SD
Zm00001eb352550,Zm00001eb150720,SD
Zm00001eb180060,Zm00001eb041100,SD
Zm00001eb067370,Zm00001eb432940,SD
Zm00001eb098760,Zm00001eb311450,SD
Zm00001eb214120,Zm00001eb058500,SD
Zm00001eb225470,Zm00001eb273600,SD
Zm00001eb059830,Zm00001eb213480,SD
Zm00001eb022650,Zm00001eb393930,SD
Zm00001eb281170,Zm00001eb381270,SD
Zm00001eb265430,Zm00001eb355120,SD
Zm00001eb130470,Zm00001eb340170,SD
Zm00001eb155720,Zm00001eb294610,SD
Zm00001eb040450,Zm00001eb314180,SD
Zm00001eb322320,Zm00001eb105680,SD
Zm00001eb431760,Zm00001eb069140,SD
Zm00001eb405060,Zm00001eb093200,SD
Zm00001eb405060,Zm00001eb196470,SD
Zm00001eb345380,Zm00001eb297290,SD
Zm00001eb325500,Zm00001eb107640,SD
Zm00001eb371290,Zm00001eb293450,SD
Zm00001eb272180,Zm00001eb228280,SD
Zm00001eb062630,Zm00001eb211720,SD
Zm00001eb099470,Zm00001eb312850,SD
Zm00001eb099470,Zm00001eb374700,SD
Zm00001eb367110,Zm00001eb147510,SD
Zm00001eb399310,Zm00001eb009660,SD
Zm00001eb134910,Zm00001eb030090,SD
Zm00001eb390370,Zm00001eb024360,SD
Zm00001eb106960,Zm00001eb324390,SD
Zm00001eb425190,Zm00001eb079200,SD
Zm00001eb093200,Zm00001eb196470,SD
Zm00001eb143880,Zm00001eb365060,SD
Zm00001eb050910,Zm00001eb135680,SD
Zm00001eb021340,Zm00001eb404640,SD
Zm00001eb004290,Zm00001eb403210,SD
Zm00001eb117740,Zm00001eb299690,SD
Zm00001eb102880,Zm00001eb318570,SD
Zm00001eb207070,Zm00001eb389800,SD
Zm00001eb026100,Zm00001eb010210,SD
Zm00001eb184570,Zm00001eb247020,SD
Zm00001eb184570,Zm00001eb426050,SD
Zm00001eb184570,Zm00001eb078110,SD
Zm00001eb214910,Zm00001eb057200,SD
Zm00001eb070480,Zm00001eb431120,SD
Zm00001eb122960,Zm00001eb336660,SD
Zm00001eb247380,Zm00001eb077820,SD
Zm00001eb247380,Zm00001eb426290,SD
Zm00001eb236450,Zm00001eb206090,SD
Zm00001eb401770,Zm00001eb005970,SD
Zm00001eb179540,Zm00001eb041730,SD
Zm00001eb019620,Zm00001eb327350,SD
Zm00001eb361220,Zm00001eb155250,SD
Zm00001eb408250,Zm00001eb091230,SD
Zm00001eb431190,Zm00001eb070320,SD
Zm00001eb384590,Zm00001eb277520,SD
Zm00001eb333460,Zm00001eb127840,SD
Zm00001eb321610,Zm00001eb105130,SD
Zm00001eb195710,Zm00001eb111660,SD
Zm00001eb318820,Zm00001eb103070,SD
Zm00001eb310450,Zm00001eb098390,SD
Zm00001eb183190,Zm00001eb245030,SD
Zm00001eb183190,Zm00001eb080700,SD
Zm00001eb107930,Zm00001eb325800,SD
Zm00001eb244550,Zm00001eb182690,SD
Zm00001eb244550,Zm00001eb423600,SD
Zm00001eb244550,Zm00001eb081430,SD
Zm00001eb096940,Zm00001eb063070,SD
Zm00001eb016450,Zm00001eb394950,SD
Zm00001eb370980,Zm00001eb153320,SD
Zm00001eb129710,Zm00001eb332260,SD
Zm00001eb433330,Zm00001eb066830,SD
Zm00001eb105630,Zm00001eb322260,SD
Zm00001eb279380,Zm00001eb194070,SD
Zm00001eb413860,Zm00001eb071110,SD
Zm00001eb334760,Zm00001eb125890,SD
Zm00001eb074520,Zm00001eb429610,SD
Zm00001eb432170,Zm00001eb068400,SD
Zm00001eb120960,Zm00001eb284130,SD
Zm00001eb103210,Zm00001eb202590,SD
Zm00001eb293250,Zm00001eb353710,SD
Zm00001eb293250,Zm00001eb371000,SD
Zm00001eb021210,Zm00001eb404660,SD
Zm00001eb124730,Zm00001eb335640,SD
Zm00001eb080840,Zm00001eb424110,SD
Zm00001eb343260,Zm00001eb295430,SD
Zm00001eb041470,Zm00001eb179660,SD
Zm00001eb253050,Zm00001eb189190,SD
Zm00001eb253050,Zm00001eb381220,SD
Zm00001eb145880,Zm00001eb366300,SD
Zm00001eb191720,Zm00001eb258460,SD
Zm00001eb275690,Zm00001eb388060,SD
Zm00001eb179790,Zm00001eb041140,SD
Zm00001eb297510,Zm00001eb345120,SD
Zm00001eb369340,Zm00001eb150450,SD
Zm00001eb293220,Zm00001eb353740,SD
Zm00001eb196930,Zm00001eb092720,SD
Zm00001eb179290,Zm00001eb041890,SD
Zm00001eb212400,Zm00001eb061960,SD
Zm00001eb001070,Zm00001eb021300,SD
Zm00001eb252990,Zm00001eb316350,SD
Zm00001eb328710,Zm00001eb110020,SD
Zm00001eb425420,Zm00001eb079000,SD
Zm00001eb007800,Zm00001eb400800,SD
Zm00001eb330840,Zm00001eb111660,SD
Zm00001eb246770,Zm00001eb425750,SD
Zm00001eb001340,Zm00001eb403920,SD
Zm00001eb098610,Zm00001eb310970,SD
Zm00001eb182000,Zm00001eb243840,SD
Zm00001eb313050,Zm00001eb099680,SD
Zm00001eb183770,Zm00001eb246090,SD
Zm00001eb397710,Zm00001eb012300,SD
Zm00001eb000410,Zm00001eb023100,SD
Zm00001eb360950,Zm00001eb155690,SD
Zm00001eb198470,Zm00001eb037460,SD
Zm00001eb386750,Zm00001eb275120,SD
Zm00001eb428680,Zm00001eb073660,SD
Zm00001eb185070,Zm00001eb247510,SD
Zm00001eb185070,Zm00001eb426580,SD
Zm00001eb392220,Zm00001eb018410,SD
Zm00001eb196410,Zm00001eb093250,SD
Zm00001eb353640,Zm00001eb154000,SD
Zm00001eb317760,Zm00001eb102440,SD
Zm00001eb325810,Zm00001eb107940,SD
Zm00001eb247510,Zm00001eb426580,SD
Zm00001eb247510,Zm00001eb077550,SD
Zm00001eb369390,Zm00001eb352530,SD
Zm00001eb324510,Zm00001eb107110,SD
Zm00001eb426050,Zm00001eb078110,SD
Zm00001eb426050,Zm00001eb247020,SD
Zm00001eb030240,Zm00001eb051660,SD
Zm00001eb238210,Zm00001eb204130,SD
Zm00001eb312900,Zm00001eb099440,SD
Zm00001eb098340,Zm00001eb310330,SD
Zm00001eb063070,Zm00001eb304010,SD
Zm00001eb152490,Zm00001eb370530,SD
Zm00001eb399480,Zm00001eb009460,SD
Zm00001eb069700,Zm00001eb431580,SD
Zm00001eb069700,Zm00001eb413030,SD
Zm00001eb247020,Zm00001eb078110,SD
Zm00001eb275250,Zm00001eb206660,SD
Zm00001eb366090,Zm00001eb145600,SD
Zm00001eb188320,Zm00001eb252010,SD
Zm00001eb336090,Zm00001eb123670,SD
Zm00001eb334940,Zm00001eb125730,SD
Zm00001eb080050,Zm00001eb424670,SD
Zm00001eb056800,Zm00001eb215150,SD
Zm00001eb421720,Zm00001eb084430,SD
Zm00001eb421720,Zm00001eb242410,SD
Zm00001eb369540,Zm00001eb150820,SD
Zm00001eb309390,Zm00001eb097780,SD
Zm00001eb304010,Zm00001eb096940,SD
Zm00001eb358870,Zm00001eb159200,SD
Zm00001eb243000,Zm00001eb181510,SD
Zm00001eb243000,Zm00001eb083590,SD
Zm00001eb016620,Zm00001eb394840,SD
Zm00001eb016620,Zm00001eb111160,SD
Zm00001eb112220,Zm00001eb167940,SD
Zm00001eb269770,Zm00001eb378170,SD
Zm00001eb013940,Zm00001eb396620,SD
Zm00001eb261440,Zm00001eb173390,SD
Zm00001eb395470,Zm00001eb015460,SD
Zm00001eb331170,Zm00001eb015150,SD
Zm00001eb331170,Zm00001eb395640,SD
Zm00001eb125990,Zm00001eb334750,SD
Zm00001eb187030,Zm00001eb429130,SD
Zm00001eb075320,Zm00001eb427580,SD
Zm00001eb075320,Zm00001eb248780,SD
Zm00001eb322440,Zm00001eb105800,SD
Zm00001eb352130,Zm00001eb290980,SD
Zm00001eb208840,Zm00001eb231050,SD
Zm00001eb348660,Zm00001eb146400,SD
Zm00001eb369680,Zm00001eb151090,SD
Zm00001eb139160,Zm00001eb407810,SD
Zm00001eb066780,Zm00001eb433390,SD
Zm00001eb034730,Zm00001eb199810,SD
Zm00001eb173090,Zm00001eb416950,SD
Zm00001eb071250,Zm00001eb430610,SD
Zm00001eb381350,Zm00001eb189470,SD
Zm00001eb395410,Zm00001eb015540,SD
Zm00001eb079390,Zm00001eb425020,SD
Zm00001eb200130,Zm00001eb114200,SD
Zm00001eb335940,Zm00001eb124300,SD
Zm00001eb431580,Zm00001eb413030,SD
Zm00001eb431580,Zm00001eb171820,SD
Zm00001eb188190,Zm00001eb251700,SD
Zm00001eb387570,Zm00001eb234980,SD
Zm00001eb327350,Zm00001eb005900,SD
Zm00001eb401450,Zm00001eb006700,SD
Zm00001eb401450,Zm00001eb027860,SD
Zm00001eb019160,Zm00001eb392610,SD
Zm00001eb005340,Zm00001eb402380,SD
Zm00001eb182890,Zm00001eb244830,SD
Zm00001eb433000,Zm00001eb067340,SD
Zm00001eb426580,Zm00001eb077550,SD
Zm00001eb433040,Zm00001eb067190,SD
Zm00001eb035730,Zm00001eb174670,SD
Zm00001eb102150,Zm00001eb174670,SD
Zm00001eb214570,Zm00001eb057750,SD
Zm00001eb111520,Zm00001eb016180,SD
Zm00001eb217180,Zm00001eb053410,SD
Zm00001eb000970,Zm00001eb043390,SD
Zm00001eb304320,Zm00001eb097000,SD
Zm00001eb304320,Zm00001eb211200,SD
Zm00001eb138800,Zm00001eb408460,SD
Zm00001eb225240,Zm00001eb273630,SD
Zm00001eb281660,Zm00001eb375380,SD
Zm00001eb289810,Zm00001eb351490,SD
Zm00001eb289810,Zm00001eb368150,SD
Zm00001eb289810,Zm00001eb148690,SD
Zm00001eb152190,Zm00001eb370290,SD
Zm00001eb004180,Zm00001eb403130,SD
Zm00001eb004180,Zm00001eb222610,SD
Zm00001eb004180,Zm00001eb047280,SD
Zm00001eb230750,Zm00001eb208580,SD
Zm00001eb093480,Zm00001eb196000,SD
Zm00001eb326210,Zm00001eb108250,SD
Zm00001eb154060,Zm00001eb371370,SD
Zm00001eb351490,Zm00001eb368150,SD
Zm00001eb351490,Zm00001eb148690,SD
Zm00001eb379950,Zm00001eb280600,SD
Zm00001eb171480,Zm00001eb431310,SD
Zm00001eb122300,Zm00001eb282950,SD
Zm00001eb426090,Zm00001eb078010,SD
Zm00001eb426090,Zm00001eb247140,SD
Zm00001eb426090,Zm00001eb184780,SD
Zm00001eb176440,Zm00001eb100610,SD
Zm00001eb176440,Zm00001eb314630,SD
Zm00001eb343120,Zm00001eb295120,SD
Zm00001eb218750,Zm00001eb050670,SD
Zm00001eb402450,Zm00001eb005240,SD
Zm00001eb368930,Zm00001eb149630,SD
Zm00001eb368930,Zm00001eb290690,SD
Zm00001eb106230,Zm00001eb323030,SD
Zm00001eb397930,Zm00001eb011950,SD
Zm00001eb113570,Zm00001eb197970,SD
Zm00001eb065130,Zm00001eb210380,SD
Zm00001eb069210,Zm00001eb431720,SD
Zm00001eb069540,Zm00001eb069960,SD
Zm00001eb060430,Zm00001eb213130,SD
Zm00001eb117770,Zm00001eb299480,SD
Zm00001eb117770,Zm00001eb213780,SD
Zm00001eb117770,Zm00001eb058970,SD
Zm00001eb207650,Zm00001eb225260,SD
Zm00001eb207650,Zm00001eb273610,SD
Zm00001eb023100,Zm00001eb391580,SD
Zm00001eb079000,Zm00001eb246490,SD
Zm00001eb110450,Zm00001eb329360,SD
Zm00001eb279870,Zm00001eb371970,SD
Zm00001eb158780,Zm00001eb359200,SD
Zm00001eb012190,Zm00001eb148210,SD
Zm00001eb024110,Zm00001eb390690,SD
Zm00001eb070120,Zm00001eb431320,SD
Zm00001eb023920,Zm00001eb390850,SD
Zm00001eb012610,Zm00001eb397550,SD
Zm00001eb054810,Zm00001eb216410,SD
Zm00001eb083510,Zm00001eb422120,SD
Zm00001eb161120,Zm00001eb357590,SD
Zm00001eb288550,Zm00001eb366410,SD
Zm00001eb135980,Zm00001eb050700,SD
Zm00001eb155150,Zm00001eb361300,SD
Zm00001eb336490,Zm00001eb123140,SD
Zm00001eb128610,Zm00001eb332980,SD
Zm00001eb182800,Zm00001eb244690,SD
Zm00001eb366700,Zm00001eb146710,SD
Zm00001eb428070,Zm00001eb250940,SD
Zm00001eb428070,Zm00001eb187450,SD
Zm00001eb274250,Zm00001eb207380,SD
Zm00001eb222000,Zm00001eb046160,SD
Zm00001eb075310,Zm00001eb427590,SD
Zm00001eb270510,Zm00001eb377200,SD
Zm00001eb075900,Zm00001eb427130,SD
Zm00001eb075900,Zm00001eb248380,SD
Zm00001eb075900,Zm00001eb185680,SD
Zm00001eb019450,Zm00001eb109280,SD
Zm00001eb010050,Zm00001eb399180,SD
Zm00001eb288420,Zm00001eb349010,SD
Zm00001eb064580,Zm00001eb210740,SD
Zm00001eb106630,Zm00001eb323620,SD
Zm00001eb100570,Zm00001eb176490,SD
Zm00001eb195030,Zm00001eb404880,SD
Zm00001eb032030,Zm00001eb050290,SD
Zm00001eb084670,Zm00001eb421550,SD
Zm00001eb257330,Zm00001eb040870,SD
Zm00001eb388610,Zm00001eb234130,SD
Zm00001eb424870,Zm00001eb246010,SD
Zm00001eb424870,Zm00001eb079630,SD
Zm00001eb032730,Zm00001eb134400,SD
Zm00001eb432200,Zm00001eb068390,SD
Zm00001eb215710,Zm00001eb055850,SD
Zm00001eb394050,Zm00001eb018180,SD
Zm00001eb343490,Zm00001eb295590,SD
Zm00001eb385510,Zm00001eb205310,SD
Zm00001eb394260,Zm00001eb110330,SD
Zm00001eb394260,Zm00001eb329070,SD
Zm00001eb386410,Zm00001eb276580,SD
Zm00001eb059360,Zm00001eb213700,SD
Zm00001eb218760,Zm00001eb050700,SD
Zm00001eb048370,Zm00001eb223240,SD
Zm00001eb048370,Zm00001eb005380,SD
Zm00001eb426290,Zm00001eb077820,SD
Zm00001eb018180,Zm00001eb328440,SD
Zm00001eb148690,Zm00001eb368150,SD
Zm00001eb155830,Zm00001eb360880,SD
Zm00001eb398620,Zm00001eb010610,SD
Zm00001eb325230,Zm00001eb107490,SD
Zm00001eb023110,Zm00001eb000400,SD
Zm00001eb019340,Zm00001eb392740,SD
Zm00001eb015210,Zm00001eb331220,SD
Zm00001eb015210,Zm00001eb196030,SD
Zm00001eb265440,Zm00001eb355140,SD
Zm00001eb116460,Zm00001eb302580,SD
Zm00001eb142210,Zm00001eb363500,SD
Zm00001eb248380,Zm00001eb185680,SD
Zm00001eb248380,Zm00001eb427130,SD
Zm00001eb174610,Zm00001eb035660,SD
Zm00001eb182690,Zm00001eb081430,SD
Zm00001eb182690,Zm00001eb423600,SD
Zm00001eb192670,Zm00001eb257520,SD
Zm00001eb192670,Zm00001eb374390,SD
Zm00001eb351840,Zm00001eb149070,SD
Zm00001eb316660,Zm00001eb101880,SD
Zm00001eb316660,Zm00001eb034940,SD
Zm00001eb037920,Zm00001eb100470,SD
Zm00001eb214720,Zm00001eb057580,SD
Zm00001eb363140,Zm00001eb141310,SD
Zm00001eb083490,Zm00001eb243070,SD
Zm00001eb358100,Zm00001eb162020,SD
Zm00001eb111670,Zm00001eb330880,SD
Zm00001eb023860,Zm00001eb391060,SD
Zm00001eb429100,Zm00001eb250210,SD
Zm00001eb156920,Zm00001eb343490,SD
Zm00001eb156920,Zm00001eb295590,SD
Zm00001eb369310,Zm00001eb150420,SD
Zm00001eb370920,Zm00001eb292920,SD
Zm00001eb172900,Zm00001eb416450,SD
Zm00001eb233520,Zm00001eb206900,SD
Zm00001eb399340,Zm00001eb009570,SD
Zm00001eb396610,Zm00001eb013950,SD
Zm00001eb398970,Zm00001eb010310,SD
Zm00001eb041140,Zm00001eb312910,SD
Zm00001eb403620,Zm00001eb001940,SD
Zm00001eb277560,Zm00001eb384690,SD
Zm00001eb202420,Zm00001eb407680,SD
Zm00001eb106920,Zm00001eb324270,SD
Zm00001eb145340,Zm00001eb288270,SD
Zm00001eb218000,Zm00001eb052540,SD
Zm00001eb155320,Zm00001eb361170,SD
Zm00001eb331470,Zm00001eb111910,SD
Zm00001eb331470,Zm00001eb013840,SD
Zm00001eb315470,Zm00001eb038470,SD
Zm00001eb224960,Zm00001eb025080,SD
Zm00001eb266920,Zm00001eb012280,SD
Zm00001eb266920,Zm00001eb397720,SD
Zm00001eb299480,Zm00001eb213780,SD
Zm00001eb299480,Zm00001eb058970,SD
Zm00001eb378520,Zm00001eb269490,SD
Zm00001eb153980,Zm00001eb371320,SD
Zm00001eb013340,Zm00001eb397050,SD
Zm00001eb369140,Zm00001eb149970,SD
Zm00001eb149630,Zm00001eb290690,SD
Zm00001eb184780,Zm00001eb078010,SD
Zm00001eb392700,Zm00001eb019240,SD
Zm00001eb397670,Zm00001eb012360,SD
Zm00001eb285660,Zm00001eb130620,SD
Zm00001eb246860,Zm00001eb078220,SD
Zm00001eb005900,Zm00001eb223540,SD
Zm00001eb253200,Zm00001eb189050,SD
Zm00001eb407690,Zm00001eb202410,SD
Zm00001eb421290,Zm00001eb085130,SD
Zm00001eb188410,Zm00001eb252180,SD
Zm00001eb221710,Zm00001eb045770,SD
Zm00001eb344980,Zm00001eb358400,SD
Zm00001eb035720,Zm00001eb174650,SD
Zm00001eb183780,Zm00001eb246150,SD
Zm00001eb048480,Zm00001eb223320,SD
Zm00001eb048480,Zm00001eb402180,SD
Zm00001eb048480,Zm00001eb005530,SD
Zm00001eb227490,Zm00001eb272620,SD
Zm00001eb274110,Zm00001eb232910,SD
Zm00001eb390190,Zm00001eb232910,SD
Zm00001eb001110,Zm00001eb403970,SD
Zm00001eb091800,Zm00001eb200840,SD
Zm00001eb331680,Zm00001eb104000,SD
Zm00001eb265280,Zm00001eb355060,SD
Zm00001eb381430,Zm00001eb281190,SD
Zm00001eb381430,Zm00001eb252950,SD
Zm00001eb129360,Zm00001eb332520,SD
Zm00001eb185680,Zm00001eb427130,SD
Zm00001eb144420,Zm00001eb365600,SD
Zm00001eb364370,Zm00001eb143150,SD
Zm00001eb364370,Zm00001eb085610,SD
Zm00001eb205310,Zm00001eb277200,SD
Zm00001eb313190,Zm00001eb374530,SD
Zm00001eb313190,Zm00001eb041100,SD
Zm00001eb109790,Zm00001eb328000,SD
Zm00001eb337860,Zm00001eb284130,SD
Zm00001eb278620,Zm00001eb373760,SD
Zm00001eb309060,Zm00001eb097570,SD
Zm00001eb081430,Zm00001eb423600,SD
Zm00001eb289150,Zm00001eb348540,SD
Zm00001eb183860,Zm00001eb246220,SD
Zm00001eb194770,Zm00001eb254070,SD
Zm00001eb194770,Zm00001eb280090,SD
Zm00001eb412510,Zm00001eb069140,SD
Zm00001eb239750,Zm00001eb205040,SD
Zm00001eb144080,Zm00001eb365190,SD
Zm00001eb325820,Zm00001eb107970,SD
Zm00001eb324000,Zm00001eb106750,SD
Zm00001eb317860,Zm00001eb102520,SD
Zm00001eb317860,Zm00001eb036890,SD
Zm00001eb364210,Zm00001eb143020,SD
Zm00001eb100590,Zm00001eb176480,SD
Zm00001eb223320,Zm00001eb005530,SD
Zm00001eb288430,Zm00001eb348980,SD
Zm00001eb288430,Zm00001eb366220,SD
Zm00001eb272980,Zm00001eb226810,SD
Zm00001eb004200,Zm00001eb403150,SD
Zm00001eb020780,Zm00001eb326080,SD
Zm00001eb020780,Zm00001eb108170,SD
Zm00001eb084820,Zm00001eb242090,SD
Zm00001eb304520,Zm00001eb211100,SD
Zm00001eb261170,Zm00001eb173640,SD
Zm00001eb397870,Zm00001eb011990,SD
Zm00001eb005230,Zm00001eb048290,SD
Zm00001eb081530,Zm00001eb244460,SD
Zm00001eb327710,Zm00001eb019140,SD
Zm00001eb034780,Zm00001eb101850,SD
Zm00001eb191410,Zm00001eb258920,SD
Zm00001eb010550,Zm00001eb026840,SD
Zm00001eb078010,Zm00001eb247140,SD
Zm00001eb126840,Zm00001eb334190,SD
Zm00001eb207420,Zm00001eb232780,SD
Zm00001eb207420,Zm00001eb273950,SD
Zm00001eb008270,Zm00001eb401160,SD
Zm00001eb312180,Zm00001eb099250,SD
Zm00001eb348980,Zm00001eb366220,SD
Zm00001eb206830,Zm00001eb274800,SD
Zm00001eb254160,Zm00001eb279930,SD
Zm00001eb110330,Zm00001eb329070,SD
Zm00001eb199880,Zm00001eb035030,SD
Zm00001eb199880,Zm00001eb316740,SD
Zm00001eb199880,Zm00001eb101920,SD
Zm00001eb402260,Zm00001eb048420,SD
Zm00001eb276760,Zm00001eb385590,SD
Zm00001eb425550,Zm00001eb078860,SD
Zm00001eb362700,Zm00001eb140590,SD
Zm00001eb242410,Zm00001eb084430,SD
Zm00001eb250940,Zm00001eb187450,SD
Zm00001eb185630,Zm00001eb248330,SD
Zm00001eb103800,Zm00001eb331970,SD
Zm00001eb357290,Zm00001eb160050,SD
Zm00001eb039280,Zm00001eb175950,SD
Zm00001eb432760,Zm00001eb067500,SD
Zm00001eb011020,Zm00001eb398410,SD
Zm00001eb234450,Zm00001eb387160,SD
Zm00001eb234450,Zm00001eb275410,SD
Zm00001eb332660,Zm00001eb128990,SD
Zm00001eb303200,Zm00001eb095330,SD
Zm00001eb278370,Zm00001eb374410,SD
Zm00001eb038060,Zm00001eb100790,SD
Zm00001eb117560,Zm00001eb300090,SD
Zm00001eb117560,Zm00001eb059920,SD
Zm00001eb117560,Zm00001eb213430,SD
Zm00001eb257520,Zm00001eb374390,SD
Zm00001eb100620,Zm00001eb314620,SD
Zm00001eb171110,Zm00001eb413810,SD
Zm00001eb421370,Zm00001eb084870,SD
Zm00001eb257590,Zm00001eb374410,SD
Zm00001eb113920,Zm00001eb201770,SD
Zm00001eb155230,Zm00001eb294360,SD
Zm00001eb100790,Zm00001eb255870,SD
Zm00001eb374680,Zm00001eb192450,SD
Zm00001eb316580,Zm00001eb199780,SD
Zm00001eb316580,Zm00001eb034700,SD
Zm00001eb429740,Zm00001eb074680,SD
Zm00001eb230110,Zm00001eb209350,SD
Zm00001eb284290,Zm00001eb350430,SD
Zm00001eb278280,Zm00001eb374530,SD
Zm00001eb069510,Zm00001eb412940,SD
Zm00001eb427580,Zm00001eb248780,SD
Zm00001eb399650,Zm00001eb009260,SD
Zm00001eb236510,Zm00001eb206210,SD
Zm00001eb205940,Zm00001eb236180,SD
Zm00001eb102430,Zm00001eb317740,SD
Zm00001eb100610,Zm00001eb314630,SD
Zm00001eb252060,Zm00001eb188370,SD
Zm00001eb300090,Zm00001eb059920,SD
Zm00001eb372520,Zm00001eb279550,SD
Zm00001eb372520,Zm00001eb254920,SD
Zm00001eb372520,Zm00001eb194440,SD
Zm00001eb008830,Zm00001eb400000,SD
Zm00001eb125530,Zm00001eb335020,SD
Zm00001eb074850,Zm00001eb249400,SD
Zm00001eb074850,Zm00001eb186440,SD
Zm00001eb074850,Zm00001eb391080,SD
Zm00001eb213780,Zm00001eb058970,SD
Zm00001eb330590,Zm00001eb111510,SD
Zm00001eb364400,Zm00001eb085680,SD
Zm00001eb353540,Zm00001eb371160,SD
Zm00001eb353540,Zm00001eb293700,SD
Zm00001eb000720,Zm00001eb404230,SD
Zm00001eb095240,Zm00001eb303380,SD
Zm00001eb168010,Zm00001eb112250,SD
Zm00001eb111160,Zm00001eb330340,SD
Zm00001eb111160,Zm00001eb394840,SD
Zm00001eb051610,Zm00001eb219200,SD
Zm00001eb274390,Zm00001eb389810,SD
Zm00001eb092040,Zm00001eb202410,SD
Zm00001eb246560,Zm00001eb184070,SD
Zm00001eb378150,Zm00001eb269810,SD
Zm00001eb429910,Zm00001eb072300,SD
Zm00001eb036890,Zm00001eb175470,SD
Zm00001eb036890,Zm00001eb102520,SD
Zm00001eb099920,Zm00001eb313700,SD
Zm00001eb099920,Zm00001eb192890,SD
Zm00001eb023230,Zm00001eb391240,SD
Zm00001eb274800,Zm00001eb389360,SD
Zm00001eb326080,Zm00001eb108170,SD
Zm00001eb223240,Zm00001eb005380,SD
Zm00001eb363360,Zm00001eb141880,SD
Zm00001eb431310,Zm00001eb070130,SD
Zm00001eb002310,Zm00001eb403500,SD
Zm00001eb398190,Zm00001eb011370,SD
Zm00001eb000640,Zm00001eb404290,SD
Zm00001eb095840,Zm00001eb307730,SD
Zm00001eb315240,Zm00001eb100980,SD
Zm00001eb401370,Zm00001eb006900,SD
Zm00001eb072200,Zm00001eb430000,SD
Zm00001eb072200,Zm00001eb187810,SD
Zm00001eb161980,Zm00001eb358080,SD
Zm00001eb155270,Zm00001eb361210,SD
Zm00001eb083290,Zm00001eb422270,SD
Zm00001eb300900,Zm00001eb213160,SD
Zm00001eb333110,Zm00001eb128070,SD
Zm00001eb320310,Zm00001eb104700,SD
Zm00001eb289180,Zm00001eb146620,SD
Zm00001eb175150,Zm00001eb102440,SD
Zm00001eb367960,Zm00001eb289670,SD
Zm00001eb367960,Zm00001eb148360,SD
Zm00001eb259080,Zm00001eb191260,SD
Zm00001eb254070,Zm00001eb280090,SD
Zm00001eb098650,Zm00001eb042260,SD
Zm00001eb339790,Zm00001eb130000,SD
Zm00001eb204560,Zm00001eb238650,SD
Zm00001eb216640,Zm00001eb054430,SD
Zm00001eb402600,Zm00001eb002680,SD
Zm00001eb030090,Zm00001eb051770,SD
Zm00001eb052070,Zm00001eb217440,SD
Zm00001eb312330,Zm00001eb099320,SD
Zm00001eb289670,Zm00001eb148360,SD
Zm00001eb010660,Zm00001eb398600,SD
Zm00001eb417620,Zm00001eb354510,SD
Zm00001eb417620,Zm00001eb129490,SD
Zm00001eb252380,Zm00001eb382080,SD
Zm00001eb359360,Zm00001eb296540,SD
Zm00001eb182750,Zm00001eb244590,SD
Zm00001eb182750,Zm00001eb423640,SD
Zm00001eb143430,Zm00001eb364730,SD
